IDENTIFIANT;	NOM;	QUANTITE;	PRIX D'ACHAT;	PREMIER PRIX DE VENTE;	DEUXIEME PRIX DE VENTE
25a;	accide batterie;	20.0;	250;	500;	500
1a;	amortisseur FCNCO;	5.0;	8000;	11000;	10000
20a;	amortisseur GN;	1.0;	8000;	10000;	9500
12a;	ampoule clignottant;	65.0;	40;	100;	100
19a;	ampoule en paquet JHSY;	36.0;	250;	500;	500
15a;	ampoule feu stop arrière;	29.0;	150;	300;	250
13a;	ampoule feu stop SIDER;	76.0;	70;	200;	200;
14a;	ampoule ronde;	85.0;	130;	300;	300
18a;	arbre à came CG 125 3W&V6;	4.0;	3300;	5000;	5000
2a;	arbre à came complet CG 125 JHSY;	4.0;	3500;	5000;	5000
4a;	arbre à came simple CG 150 3M&V6;	2.0;	2400;	4000;	3500
3a;	arbre à came simple CG 150 DAHE; 3.0;	2300;	3500;	3000
24a;	arret huile demarreur;	9.0;	100;	200;	200
17a;	arret huile en paquet CG 150 CNAZA;	8.0;	100;	200;	200
22a;	arret huile fourche 43;	9.0;	150;	300;	300
23a;	arret huile fourche 44;	8.0;	150;	300;	300
21a;	arret huile fourche BAJA;	8.0;	150;	300;	300
10a;	axe arrière;	5.0;	450;	1000;	800
5a;	axe arriere BAJA;	3.0;	700;	1300;	1000
6a;	axe arrière TVS;	3.0;	900;	1500;	1300
11a;	axe avant;	5.0;	350;	1000;	800
9a;	axe central;	18.0;	400;	1000;	800
16a;	axe du pousse FUKI;	7.0;	400;	800;	600
7a;	axe pignon avant CG 125 3M;	5.0;	1000;	2000;	1500
8a;	axe pigon avant CG 150 JHSY;	9.0;	1000;	2000;	1500
24b;	bague échappement CG;	2.0;	600;	1000;	800
23b;	bague échappement complet GN;	2.0;	600;	1000;	800
22b;	bague tuyau échapement GN 125;	18.0;	50;	200;	200
21b;	bague tuyau echapement GN 125 TVS PH;	19.0;	50;	200;	200
11b;	balance CG 125 JHSY;	6.0;	1000;	1500;	1300
54b;	batterie JHSY grand;	1.0;	5800;	7000;	6500
